# Reviewed task | independently tracked facets | validation procedure and acceptance oracle.
# Source and facet identities are bound by docs/requirement-review.json.
P00-T01 | every requested feature; every platform; every default setting; every editor capability | Audit each plan task and table against explicit facets; validation must reject omissions and source drift. Test definitions and executed results remain separate.
P00-T02 | both US discs; reference selection; container hashes; decoded source hashes; region evidence; exact supported revisions; rejection of filename-only identification | Re-run container integrity, raw-track and boot-executable hashes; inspect original metadata and declare exact hash profiles. Unsupported or unproven revisions remain explicit.
P00-T03 | fields; world map; battles; menus; event sequences; audio; FMVs; saves; optional activities; minigames | Reconcile an original-source inventory for both discs with observed content IDs and provenance; unknown counts or unidentified content remain open and prevent an exhaustive claim.
P00-T04 | runtime source area; independent analysis area; extraction tools area; editors area; tests area; packaging area; ignored original discs; ignored generated local assets | Inspect repository ownership and source archive allowlist; attempt to include private images, stores and saves and require rejection.
P00-T05 | disc and revision; file or sector offset; executable identity; overlay identity; applicable address; observed behavior; confidence; reproducible validation procedure | Validate a real original-data finding and reject incomplete or unqualified evidence records; re-run its recorded measurement.
P00-T06 | identified state; analyzed state; decompiled state; natively implemented state; behaviorally validated state; unknown behavior; intentionally changed behavior | Validate subsystem records and gated transitions with evidence for every promoted state; reject skipped proof and changes without a decision record.
P00-T07 | Arch Linux environment; C++ build; CMake; Ninja; Debug configuration; sanitizers; formatting; automated tests; reproducible empty-project build | Run locked Nix setup, clean Debug/ASan+UBSan/Release builds, CTest, formatting and repository checks; compare clean release artifacts and inspect installation on the declared Arch host.
P00-T08 | contributor provenance; dependency review; independent implementation boundary | Review contribution/dependency templates and actual dependency inventory; require source origins, license, scope and review, and forbid other Xenogears implementations or RE foundations.
P00-T09 | representative scenarios; disc 1 checkpoints; disc 2 checkpoints; cross-disc progression; definitions before implementation | Audit stimulus, prerequisites, original oracle, expected state surfaces and provenance requirements for each checkpoint; distinguish proposed checkpoints from captured reference runs.
P00-T10 | general testing design informed by sibling framework; checkpoint-free cold boot; original loader entry; declarative setup through verified scene adapters; explicit readiness conditions; bounded timeouts; ordered inputs; original-source identity; tool and write provenance; unrecovered battle adapters tracked and rejected; unrecovered position adapters tracked and rejected; unrecovered progression adapters tracked and rejected | Run supported declarative original-program scene scenarios from cold boot without checkpoint prerequisites; verify original loader/readiness evidence, controlled setup and ordered inputs on supported profiles. Readiness must name the actual observed condition, such as map initialized, without claiming player control. Reject incompatible source fingerprints, known missing data and unsafe/unresolved adapters; demonstrate timeout failure instead of claiming readiness. Preserve hashes and exact setup writes in local evidence and retain the explicit battle/position/progression backlog. Sibling game-specific code/offsets/catalogs are not Xenogears evidence.
P00-T11 | agent-native execution coverage; full introspection coverage; direct commands coverage; complete debug and go-anywhere coverage; optional image-stream coverage; unlocked-speed coverage; optional PS1 visuals coverage; Wide headphone surround coverage; preserved historical evidence; unimplemented additions remain defined | Review every changed task, boundary, foundational-contract row, default, platform and gate against the migrated matrix; reject source drift and evidence reassignment. Check the explicit migration record and prove later native requirements have no inherited passes.
P00-T12 | versioned native protocol; structured state-query schema; typed command model; explicit simulation-time units; execution modes; debug permission boundary; device-free headless architecture; first-slice acceptance gates | Review docs/agent/README.md, machine-readable schemas, methods, examples and acceptance gates together. Validate request/result shapes and negative cases; audit tick ordering, state consistency, cancellation, ownership, debugging and renderer independence. These are specification tests, not a native gameplay pass.
